Date,PX_OPEN,PX_LAST,PX_LOW,PX_HIGH,PX_BID,PX_ASK,PX_MID,PX_VOLUME,PX_TO_BOOK_RATIO,PE_RATIO,IS_EPS,CASH_RATIO,CUR_RATIO,QUICK_RATIO,AVERAGE_DIVIDEND_YIELD,PROF_MARGIN,OPER_MARGIN
16/09/2019,217.73,219.9,217.56,220.13,219.9,219.92,219.91,21158141,10.3307,18.7249,2.2,1.0547,1.5046,1.2125,1.3461,18.666,21.4537
13/09/2019,220,218.75,217.02,220.79,218.79,218.8,218.795,39763296,10.2766,18.6269,2.2,1.0547,1.5046,1.2125,1.3531,18.666,21.4537
12/09/2019,224.8,223.085,222.86,226.42,223.08,223.09,223.085,32226669,10.4803,18.9961,2.2,1.0547,1.5046,1.2125,1.3268,18.666,21.4537
11/09/2019,218.07,223.59,217.73,223.71,223.58,223.6,223.59,44289646,10.504,19.0391,2.2,1.0547,1.5046,1.2125,1.3239,18.666,21.4537
10/09/2019,213.86,216.7,211.71,216.78,216.77,216.78,216.775,31777931,10.1803,18.4524,2.2,1.0547,1.5046,1.2125,1.3659,18.666,21.4537
09/09/2019,214.84,214.17,211.07,216.44,214.15,214.16,214.155,27309401,10.0615,18.2369,2.2,1.0547,1.5046,1.2125,1.3821,18.666,21.4537
06/09/2019,214.05,213.26,212.51,214.42,213.2,213.22,213.21,19362294,10.0187,18.1594,2.2,1.0547,1.5046,1.2125,1.388,18.666,21.4537
05/09/2019,212,213.28,211.51,213.97,213.27,213.28,213.275,23946984,10.0197,18.1612,2.2,1.0547,1.5046,1.2125,1.3878,18.666,21.4537
04/09/2019,208.39,209.19,207.32,209.48,209.23,209.24,209.235,19216820,9.8275,17.8129,2.2,1.0547,1.5046,1.2125,1.415,18.666,21.4537
03/09/2019,206.43,205.7,204.22,206.98,205.69,205.7,205.695,20059574,9.6636,17.5157,2.2,1.0547,1.5046,1.2125,1.439,18.666,21.4537
30/08/2019,210.16,208.74,207.2,210.45,208.73,208.74,208.735,21162561,9.8064,17.7746,2.2,1.0547,1.5046,1.2125,1.418,18.666,21.4537
29/08/2019,208.5,209.01,206.655,209.32,209.09,209.1,209.095,21007652,9.8191,17.7976,2.2,1.0547,1.5046,1.2125,1.4162,18.666,21.4537
28/08/2019,204.1,205.53,203.32,205.72,205.52,205.53,205.525,15957632,9.6556,17.5012,2.2,1.0547,1.5046,1.2125,1.4402,18.666,21.4537
27/08/2019,207.86,204.16,203.53,208.55,204.11,204.14,204.125,25897344,9.5912,17.3846,2.2,1.0547,1.5046,1.2125,1.4498,18.666,21.4537
26/08/2019,205.86,206.49,205.0573,207.19,206.59,206.6,206.595,26066130,9.7007,17.583,2.2,1.0547,1.5046,1.2125,1.4335,18.666,21.4537
23/08/2019,209.43,202.64,201,212.051,202.63,202.67,202.65,46882843,9.5198,17.2551,2.2,1.0547,1.5046,1.2125,1.4607,18.666,21.4537
22/08/2019,213.19,212.46,210.75,214.435,212.43,212.46,212.445,22267819,9.9811,18.0913,2.2,1.0547,1.5046,1.2125,1.3932,18.666,21.4537
21/08/2019,212.99,212.64,211.6032,213.65,212.64,212.68,212.66,21564747,9.9896,18.1067,2.2,1.0547,1.5046,1.2125,1.392,18.666,21.4537
20/08/2019,210.88,210.36,210.32,213.35,210.35,210.36,210.355,26919529,9.8825,17.9125,2.2,1.0547,1.5046,1.2125,1.4071,18.666,21.4537
19/08/2019,210.62,210.35,210.025,212.7307,210.33,210.35,210.34,24431915,9.882,17.9117,2.2,1.0547,1.5046,1.2125,1.4072,18.666,21.4537
16/08/2019,204.28,206.5,203.84,207.16,206.4,206.47,206.435,28813624,9.7011,17.5838,2.2,1.0547,1.5046,1.2125,1.4334,18.666,21.4537
15/08/2019,203.46,201.74,199.67,205.14,201.67,201.73,201.7,27883363,9.4775,17.1785,2.2,1.0547,1.5046,1.2125,1.4672,18.666,21.4537
14/08/2019,203.16,202.75,202.5869,206.44,202.74,202.75,202.745,36547443,9.525,17.2645,2.2,1.0547,1.5046,1.2125,1.4599,18.666,21.4537
13/08/2019,201.02,208.97,200.83,212.14,208.97,208.98,208.975,47539786,9.8172,17.7941,2.2,1.0547,1.5046,1.2125,1.4165,18.666,21.4537
12/08/2019,199.62,200.48,199.15,202.0516,200.47,200.5,200.485,22481889,9.4183,17.0712,2.2,1.0547,1.5046,1.2125,1.4765,18.666,21.4537
09/08/2019,201.3,200.99,199.29,202.76,200.93,200.99,200.96,24619746,9.4423,17.1146,2.2,1.0547,1.5046,1.2125,1.4727,18.666,21.4537
08/08/2019,200.2,203.43,199.39,203.53,203.45,203.48,203.465,27009523,9.5569,17.3224,2.2,1.0547,1.5046,1.2125,1.455,18.666,21.4537
07/08/2019,195.41,199.04,193.82,199.56,199.14,199.15,199.145,33364400,9.3507,16.9486,2.2,1.0547,1.5046,1.2125,1.4871,18.666,21.4537
06/08/2019,196.31,197,194.04,198.067,196.97,197.03,197,35824787,9.2548,16.7749,2.2,1.0547,1.5046,1.2125,1.5025,18.666,21.4537
05/08/2019,197.99,193.34,192.58,198.649,193.21,193.28,193.245,52392969,9.0829,16.4632,2.2,1.0547,1.5046,1.2125,1.531,18.666,21.4537
02/08/2019,205.53,204.02,201.63,206.43,204.08,204.1,204.09,40862122,9.5846,17.3726,2.2,1.0547,1.5046,1.2125,1.4508,18.666,21.4537
01/08/2019,213.9,208.43,206.7435,218.03,208.44,208.48,208.46,54017922,9.7918,17.7482,2.2,1.0547,1.5046,1.2125,1.4201,18.666,21.4537
31/07/2019,216.42,213.04,211.3,221.37,212.78,212.79,212.785,69281361,10.0084,18.1407,2.2,1.0547,1.5046,1.2125,1.3894,18.666,21.4537
30/07/2019,208.76,208.78,207.31,210.16,208.85,208.89,208.87,33935718,9.8083,17.778,2.2,1.0547,1.5046,1.2125,1.4178,18.666,21.4537
29/07/2019,208.46,209.68,208.44,210.64,209.67,209.68,209.675,21673389,9.8505,17.8546,2.2,1.0547,1.5046,1.2125,1.4117,18.666,21.4537
26/07/2019,207.48,207.74,207.14,209.73,207.74,207.76,207.75,17618874,9.7594,17.6894,2.2,1.0547,1.5046,1.2125,1.4249,18.666,21.4537
25/07/2019,208.89,207.02,206.73,209.24,207.05,207.06,207.055,13909562,9.7256,17.6281,2.2,1.0547,1.5046,1.2125,1.4298,18.666,21.4537
24/07/2019,207.67,208.67,207.17,209.15,208.66,208.7,208.68,14991567,9.8031,17.7686,2.2,1.0547,1.5046,1.2125,1.4185,18.666,21.4537
23/07/2019,208.46,208.84,207.29,208.91,208.83,208.84,208.835,18355210,9.8111,17.7831,2.2,1.0547,1.5046,1.2125,1.4174,18.666,21.4537
22/07/2019,203.65,207.22,203.61,207.23,207.22,207.24,207.23,22277932,9.735,17.6451,2.2,1.0547,1.5046,1.2125,1.4284,18.666,21.4537
